,,Loss,,Acc
1, loss,447.243, acc,85.238
2, loss,125.997, acc,97.128
3, loss,84.098, acc,98.11
4, loss,68.576, acc,98.39
5, loss,51.645, acc,98.74
6, loss,45.417, acc,98.944
7, loss,38.389, acc,99.064
8, loss,35.19, acc,99.14
9, loss,36.145, acc,99.13
10, loss,11.665, acc,99.678
11, loss,3.394, acc,99.9
12, loss,3.089, acc,99.91
13, loss,4.166, acc,99.882
14, loss,2.041, acc,99.938
15, loss,0.355, acc,99.996
16, loss,0.221, acc,99.998
17, loss,0.12, acc,99.998
18, loss,0.073, acc,99.998
19, loss,0.039, acc,99.998
20, loss,0.113, acc,99.996
